title,link,snippet,displayLink
Poland and U.S. Announce Strategic Partnership to Launch ...,https://www.energy.gov/articles/poland-and-us-announce-strategic-partnership-launch-polands-civil-nuclear-program,"Nov 3, 2022 ... Clean Energy · American Manufacturing. Media Inquiries: (202) 586-4940 or DOENews@hq.doe.",www.energy.gov
Energy Department Releases Formalized Process for ...,https://www.energy.gov/articles/energy-department-releases-formalized-process-determinations-cost-share-reduction-requests,"Oct 31, 2020 ... DOE Notices and Rules. Media Inquiries: (202) 586-4940 or DOENews@hq.doe.gov ...",www.energy.gov
"DOE Releases New Reports Highlighting Record Growth, Declining ...",https://www.energy.gov/articles/doe-releases-new-reports-highlighting-record-growth-declining-costs-wind-power,"Aug 30, 2021 ... Wind Energy · Renewable Energy · Clean Energy; Policy; Deployment. Media Inquiries: (202) 586-4940 ...",www.energy.gov
Secretary Granholm Announces Winners of Solar Decathlon Design ...,https://www.energy.gov/articles/secretary-granholm-announces-winners-solar-decathlon-design-and-build-challenges,"View NextPress Release. DOE and NOAA Announce Winners of the Ocean Observing Prize DESIGN Contest; Launch BUILD Contest. April 19, 2021. View Previous Press ...",www.energy.gov
U.S. Department of Energy to Provide $16 Million for Machine ...,https://www.energy.gov/articles/us-department-energy-provide-16-million-machine-learning-and-artificial-intelligence,"Sep 9, 2020 ... ... New. ” ###. News Media Contact: (202) 586-4940. View NextPress Release. Collaboration Through Calibration: How NNSA and LM Teamed Up for ...",www.energy.gov
U.S. Department of Energy Announces a Solicitation to Purchase Oil ...,https://www.energy.gov/ceser/articles/us-department-energy-announces-solicitation-purchase-oil-strategic-petroleum-1,"Jan 2, 2024 ... View NextPress Release. How Legacy Management Became a Global Case Study. January 3, 2024. View Previous Press Release. January 3 National ...",www.energy.gov
Let the Challenge Begin: DOE Partners to Launch Fourth Wood ...,https://www.energy.gov/eere/articles/let-challenge-begin-doe-partners-launch-fourth-wood-stove-design-challenge,"Aug 14, 2017 ... The U.S. Department of Energy announced the launch of the fourth Wood Stove Design Challenge ... View Previous Press Release. GJO Marks One-Year ...",www.energy.gov
EM Press Releases | Department of Energy,https://www.energy.gov/em/listings/em-press-releases,Lists press release articles for the Office of Environmental Management.,www.energy.gov
"Secretary Granholm Arrives in Glasgow, Scotland for COP26 ...",https://www.energy.gov/articles/secretary-granholm-arrives-glasgow-scotland-cop26,"View NextPress Release. U.S.-Romania Joint Statement on SMR Teaming Agreement. November 4, 2021. View Previous Press Release. AEC Rim Flyers Expanded ...",www.energy.gov
DOE Announces $11 Million to Study Critical Ecosystems and ...,https://www.energy.gov/articles/doe-announces-11-million-study-critical-ecosystems-and-improve-climate-and-earth-system,"Jul 22, 2021 ... A list of projects can be found at the BER website under “What's New .” ###. View NextPress Release. U.S. Department of Energy Announces Updates ...",www.energy.gov
U.S. and 30 Countries Commit to Release 60 Million Barrels of Oil ...,https://www.energy.gov/articles/us-and-30-countries-commit-release-60-million-barrels-oil-strategic-reserves-stabilize,"Mar 1, 2022 ... Emergency Response. Media Inquiries: (202) 586-4940 or DOENews@hq.doe.gov ...",www.energy.gov
LPO PRESS RELEASES | Department of Energy,https://www.energy.gov/lpo/listings/lpo-press-releases,"DOE Announces $15 Billion Loan Guarantee to Pacific Gas & Electric Company to Expand Hydropower Generation, Battery Energy Storage, and Transmission",www.energy.gov
DOE Announces New Leadership to Tackle Challenges of Growing ...,https://www.energy.gov/articles/doe-announces-new-leadership-tackle-challenges-growing-energy-demand,"May 2, 2025 ... View Previous Press Release. Energy Department Lifts Regulations on Miscellaneous Gas Products. May 2, 2025. Media Inquiries: (202) 586-4940 or ...",www.energy.gov
DOE Issues Two LNG Export Authorizations | Department of Energy,https://www.energy.gov/articles/doe-issues-two-lng-export-authorizations,"Mar 16, 2022 ... View NextPress Release. U.S. Department of Energy Announces Contract Awards for Crude Oil Sales From the Strategic Petroleum Reserve. March 16 ...",www.energy.gov
U.S. Department of Energy Announces New Actions to Accelerate ...,https://www.energy.gov/articles/us-department-energy-announces-new-actions-accelerate-us-floating-offshore-wind-deployment,"DOE Hydrogen Program 2023 AMR Registration Now Open! February 22, 2023. View Previous Press Release. DOE Invests $2.7 Million in Carbon Capture and Storage ...",www.energy.gov
Newsroom | Department of Energy,https://www.energy.gov/newsroom,"Newsroom ; Latest Press Releases · July 11, 2025 · July 8, 2025 ; Latest Remarks / Testimony · June 18, 2025 · June 10, 2025 ; Latest Op-Eds · June 28, 2025 · June 13, ...",www.energy.gov
DOE Proposes New Energy Efficiency Standards for Water Heaters ...,https://www.energy.gov/articles/doe-proposes-new-energy-efficiency-standards-water-heaters-save-americans-more-11-billion,"Jul 21, 2023 ... To learn more, visit the Appliance and Equipment Standards Program homepage. ###. View NextPress Release. Department of Energy Launches New ...",www.energy.gov
